product_id,title,description,categories,url,price,quantity,image,characteristics,ingredients,allergens,interests,servings,calories
hydrolyzed-collagen-powder-074194,Hydrolyzed Collagen Powder," Collagen is a protein found naturally in our tendons, ligaments, muscles, and cartilage—in fact, it’s the most common protein found within the bodies of most mammals. Some say collagen is beneficial to our health, and even our appearance. The human body, however, produces less and less collagen for itself as we age, so some folks turn to dietary supplements to support their joint health, skin health, and hair health. Which is precisely why we carry Trader Joe’s Hydrolyzed Collagen Powder: made with pure, unflavored, powdered beef collagen, it’s a consummately convenient way to introduce more collagen into your diet.   Our supplier prepares each batch via a hydrolysis process that leaves the proteins so fine that they easily dissolve into all kinds of hot and cold drinks. Just add two scoops of Collagen Powder (using the scoop that’s provided in each pouch, naturally) to your morning cold brew, afternoon smoothie, or evening cup of tea, then mix, and enjoy. Each serving provides 12 grams of collagen to your daily regimen, and is virtually odorless and flavorless, making it a great option for simply mixing into a glass of water. However you enjoy it, you’re sure to enjoy our value: Trader Joe’s Hydrolyzed Collagen Powder is three dollars less than the brand we previously offered on our shelves—for the same amount of product! ","['Everything Else', 'Nutritional Supplements']",https://www.traderjoes.com/home/products/pdp/hydrolyzed-collagen-powder-074194,$7.99,7 Oz,https://www.traderjoes.com/content/dam/trjo/products/M504/74194.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['COLLAGEN HYDROLYSATE.', '† Daily Value not established', ' ‡ Hydrolyzed Collagen does not meet with FDA’s regulation for a whole protein because the ingredient is missing the amino acid, tryptophan']",,"['The ""X"" Factor']",['2 scoops(12g)'],['45 ']
all-purpose-disinfectant-cleaner-074545,All Purpose Disinfectant Cleaner," Let’s face it: keeping your house clean is a dirty job. Even aside from the actual dirt and grime involved, many cleaning supplies tend to use harsh-smelling, lung-irritating chemicals like chlorine bleach. Which is precisely why we’re introducing Trader Joe’s Fresh Citrus All Purpose Disinfectant Cleaner to our shelves. Not only does it kill 99.9% of common household bacteria and viruses on all sorts of surfaces, it does so without the use of chlorine bleach, phosphates, or sodium laureth sulfate—and leaves behind a refreshingly sweet Citrus scent, to boot.Made with a 2.4% solution of hydrogen peroxide as its active ingredient, this Cleaner truly is All Purpose, adept at dealing with everything from tough grease stains in the kitchen, to mold and mildew in the bathroom. An excellent choice for both big projects and everyday tidying-up, all it takes to effectively clean, deodorize, and disinfect is to spray the affected area with Cleaner until thoroughly wet, allow to sit for 20 minutes, then wipe away. Clean and simple–just how we like it. ","['Everything Else', 'Household Essentials']",https://www.traderjoes.com/home/products/pdp/all-purpose-disinfectant-cleaner-074545,$3.99,24 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m501/74545.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['ACTIVE INGREDIENT:  Hydrogen Peroxide:.......... 2.40%', 'INERT INGREDIENTS: ...... 97.60%']",,"['The ""X"" Factor']",[],[]
organic-darjeeling-white-tea-074758,Organic Darjeeling White Tea," Located in the northeastern corner of India, Darjeeling is known for its beautiful Buddhist and Hindu temples, dramatic mountain vistas, and, of course, its tea. Blessed with a mild, subtropical climate, and dizzying 4,000- foot elevation, Darjeeling has some of the best conditions on the planet for growing tea leaves, producing blends marked with an elegantly delicate sweetness and herby, refreshing aroma. We’re big Darjeeling devotees here at Trader Joe’s, and as such, we’re especially excited to bring this elegant and easy-drinking Trader Joe’s Organic Darjeeling White Tea to our shelves for a limited time.   Made with only the youngest buds of Darjeeling tea shoots, then minimally processed and sun-dried to preserve its delicately floral flavor, this Organic White Tea brews to an exquisitely subtle flavor profile. Each sip is superlatively smooth, with bright and ever-so-slightly sweet notes of green grapes and citrus leaves, supported by a soft and silky mouth feel. As a breakfast tea, it sets your day off on a remarkably refined note, especially when served with similarly subtle flavors: try it with a mild fruit salad, a scone with clotted cream, or an egg white omelette with spinach and goat cheese. ","['Beverages', 'Coffee & Tea']",https://www.traderjoes.com/home/products/pdp/organic-darjeeling-white-tea-074758,$4.99,20 Bag,https://www.traderjoes.com/content/dam/trjo/products/m304/74758.png/jcr:content/renditions/cq5dam.web.1280.1280,Organic,['INGREDIENT  ORGANIC WHITE TEA'],,"['Alfresco Dining', 'Brunch All Day', 'Rise & Shine']",[],[]
hot-spicy-chicken-wings-052591,Hot & Spicy Chicken Wings," It wasn’t that long ago that the wings of a chicken were regarded as parts to be discarded. But, in an unexpected turnover, the chicken wing has intercepted the top spot for beloved bar nosh and ubiquitous sports-watching snacks. Now, Trader Joe’s brings our own version of wings to the table (or bar top). Our new Hot & Spicy Chicken Wings have a list of stats that will make it hard—if not impossible—to catch a game without wanting them close-at-hand.   Here’s what makes our Wings soar above local pub grub: First, they come from vegetarian chickens. That means our California-grown birds are raised on a balanced diet of corn and soybean meal. They are never fed animal fat or animal by-products. Second, our Wings are 100% antibiotic-free (ABF). This is especially notable, since Trader Joe’s is currently the only retailer selling completely ABF, hot and spicy wings. Third, our Wings are super easy to prepare. They’ve been fully cooked and promptly frozen. This means they’re ready to heat at a moment’s notice, in the microwave or conventional oven.   Like the original Buffalo wings, ours are “sectioned” (cut in half), and covered in a spicy sauce made from vinegar, cayenne peppers, and chile pepper extract. These bite- (or three) sized snacks are the perfect finger- food. Spray canola oil on your baking tray for extra-crispy wings. And, be sure to have some cool dip at the ready. Try our Organic Ranch Dressing as the perfect foil for the spicy, vinegary sauce—with a handful of Cut & Peeled Baby Carrots on the side. ","['Food', 'From The Freezer', 'Appetizers']",https://www.traderjoes.com/home/products/pdp/hot-spicy-chicken-wings-052591,$5.99,16 Oz,https://www.traderjoes.com/content/dam/trjo/products/m20601/52591.png/jcr:content/renditions/cq5dam.web.1280.1280,,[],CONTAINS WHEAT.,"['Alfresco Dining', 'Crack a Beer', 'Effortless Entertaining', 'Finger Food', 'Game Night', 'Mouth On Fire', 'Picnic']",['3 wing sections(92g)'],['200']
white-cheddar-popcorn-005985,White Cheddar Popcorn," Trader Joe’s White Cheddar Popcorn is a special variety grown for us on family farms in Nebraska. Each kernel is air popped at just the right temperature to ensure a fluffy, tender texture. Once popped, it’s flavored with a rich, creamy white Cheddar cheese blend. A satisfyingly savory snack in practically any situation, Trader Joe’s White Cheddar Popcorn is particularly suited for enjoying on movie nights, munching on long car rides, or incorporating into your own customized snack mixes. ","['Food', 'Snacks & Sweets', 'Chips, Crackers & Crunchy Bites']",https://www.traderjoes.com/home/products/pdp/white-cheddar-popcorn-005985,$2.49,5 Oz,https://www.traderjoes.com/content/dam/trjo/products/m21001/05985.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['POPCORN', 'VEGETABLE OIL (SUNFLOWER AND/OR CANOLA OIL)', 'WHITE CHEDDAR SEASONING (WHEY POWDER, WHEY PROTEIN CONCENTRATE, BUTTERMILK POWDER, CHEDDAR CHEESE [PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES], CHEESE [PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES], SALT, SODIUM PHOSPHATE, CONTAINS 2% OR LESS OF CITRIC ACID [ACIDIFIER], LACTIC ACID).']",CONTAINS MILK.,"['Backpack Ready', 'Crack a Beer', 'Desk Drawer', 'Finger Food', 'Game Night', 'Midday Snacks', 'Picnic']",['2 cups(28g)'],['170']
honey-roasted-peanuts-050953,Honey Roasted Peanuts," A singing symphony of sweet and savory flavors full of nutty and floral tones, Trader Joe’s Honey Roasted Peanuts may just be the ultimate bar snack. Intoxicatingly crunchable and munchable with friends late into the night, you won’t remember how many handfuls, or how many beers, you’ve had once the bag is empty!   Trader Joe’s Honey Roasted Peanuts are the tastiest, most craveable snack you can keep around (or can’t because you eat them all in one go). The sweet and salty flavor combo satisfies a craving for both at once. ","['Food', 'Snacks & Sweets', 'Nuts, Dried Fruits, Seeds']",https://www.traderjoes.com/home/products/pdp/honey-roasted-peanuts-050953,$3.49,1 Lb,https://www.traderjoes.com/content/dam/trjo/products/m21003/50953.png/jcr:content/renditions/cq5dam.web.1280.1280,Kosher,"['PEANUTS', 'SUGAR', 'HONEY', 'VEGETABLE OIL (PEANUT OIL AND/OR  SUNFLOWER SEED OIL)', 'SEA SALT', 'POTATO STARCH', 'MALTODEXTRIN', 'XANTHAN GUM']",CONTAINS PEANUT.,"['Crack a Beer', 'Desk Drawer', 'Finger Food', 'Game Night', 'Midday Snacks']",['1/4 cup(30g)'],['190 ']
potted-multi-bloom-hydrangea-093196,Potted Multi-Bloom Hydrangea," Looking to add some spring cheer to your space? Look no further than Trader Joe’s Potted Multi-Bloom Hydrangeas! Available in stunning shades of pink, purple, and blue, their beautiful, bushy blooms effortlessly elevate everything from entryways to dining tables. And thanks to their Potted portability, our Multi-Bloom Hydrangeas also make excellent gifts.   What better way to say “I love you” or “Hey, you, thanks for hosting this smashing spring celebration!” than with a big, beautiful Hydrangea? When you think about it, a potted plant is like a gift that keeps on giving. Instead of one round of blooms, you get several—talk about a perennial value! Think of all the flower arrangements in your future... ",['Flowers & Plants'],https://www.traderjoes.com/home/products/pdp/potted-multi-bloom-hydrangea-093196,$10.99,1 Each,,,[],,"['Alfresco Dining', 'Effortless Entertaining', 'Giftable']",[],[]
hydrangea-in-self-hydrating-pot-066005,Hydrangea in Self Hydrating Pot," Looking to add some spring cheer to your space? Look no further than Trader Joe’s Hydrangeas in Self-Hydrating Pots! Available in stunning shades of pink, purple, and blue, their beautiful, bushy blooms effortlessly elevate everything from entryways to dining tables. And thanks to their perfectly portable, Self-Hydrating pots, they also make great gifts.   What better way to say “I love you” or “Hey, you, thanks for hosting!” than with a big, beautiful Hydrangea? After all, a potted plant is like a gift that keeps on giving—instead of one round of blooms, you get several! No green thumb? No problem. This plant’s Self-Hydrating Pot makes it extra-easy to keep it thriving. Simply fill the exterior pot’s reservoir with water and allow the moisture-absorbing Aquastick® (which protrudes from the bottom of the interior pot, connecting soil to water) to act as a “straw.” Spring has sprung! ",['Flowers & Plants'],https://www.traderjoes.com/home/products/pdp/hydrangea-in-self-hydrating-pot-066005,$9.99,1 Each,https://www.traderjoes.com/content/dam/trjo/products/m4/66005.png/jcr:content/renditions/cq5dam.web.1280.1280,,[],,"['Alfresco Dining', 'Effortless Entertaining', 'Giftable']",[],[]
guava-passion-fruit-greek-whole-milk-yogurt-064401,Guava Passion Fruit Greek Whole Milk Yogurt," Our customers love to eat Greek yogurt, and we love to offer them Greek yogurt. It works out quite well, but such a successful, symbiotic relationship requires consistency and innovation on our part. Enter Trader Joe's Guava Passion Fruit Greek Whole Milk Yogurt.    When we sampled this particular flavor combo, it was Passion-Fruity love at first spoonful. Greek yogurt, best known for its tart flavor and thick texture, becomes all the more tangy, creamy, and craveable with the addition of real, sweet guava and bright, tropical passion fruit concentrate. It's a live-and-active-cultures-lover's dream come true.  ","['Food', 'Dairy & Eggs', 'Yogurt, etc.']",https://www.traderjoes.com/home/products/pdp/guava-passion-fruit-greek-whole-milk-yogurt-064401,$0.99,5.3 Oz,,Kosher,"['GRADE A PASTEURIZED WHOLE MILK (SKIM MILK, CREAM)', 'GUAVA PASSIONFRUIT BASE (CANE SUGAR, WATER, GUAVA, PASSION FRUIT JUICE CONCENTRATE, MODIFIED CORNSTARCH, NATURAL FLAVORS, VEGETABLE AND FRUIT JUICE FOR COLOR)', 'LIVE AND ACTIVE CULTURES (BIFIDOBACTERIUM LACTIS, LACTOBACILLUS ACIDOPHILUS, L. BULGARICUS, L. PARACASEI, S. THERMOPHILUS)']",CONTAINS MILK.,"['Alfresco Dining', 'Brunch All Day', 'Rise & Shine']",['1 container(150g)'],['180 ']
ginger-lemon-probiotic-sparkling-beverage-074573,Ginger Lemon Probiotic Sparkling Beverage," Fruity, fizzy, and filled with probiotics? What could be finer?! Very few things, we'd say. And lucky for you, if you're reading this, well, then you're about to experience it for yourself, first hand, with a Trader Joe's Ginger Lemon Probiotic Sparkling Beverage.    Made with ginger juice, lemon juice concentrate, apple juice concentrate, natural flavors, and plenty of bubbles, our Ginger Lemon Probiotic Sparkling Beverage offers up refreshing, ginger-y, sweet-tart flavor-and plenty of bubbly refreshment. It tastes just like a no-sugar-added seltzer or ginger ale, but this no-sugar-added seltzer or ginger ale boasts a batch of  Bacillus coagulans-or probiotic cultures-which are added after the beverage is pasteurized.    What are you waiting for? Crack the can!  ","['Beverages', 'Sodas & Mixers']",https://www.traderjoes.com/home/products/pdp/ginger-lemon-probiotic-sparkling-beverage-074573,$1.99,12 Fl Oz,,,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'APPLE JUICE CONCENTRATE', 'GINGER JUICE', 'LEMON JUICE CONCENTRATE', 'NATURAL FLAVOR', 'CITRIC ACID (ACIDULANT)', 'PROBIOTIC CULTURE (BACILLUS COAGULANS)']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'The ""X"" Factor']",['1 can(355 mL)'],['30 ']
tangerine-probiotic-sparkling-beverage-074572,Tangerine Probiotic Sparkling Beverage," Fruity, fizzy, and filled with probiotics? What could be finer?! Very few things, we'd say. And lucky for you, if you're reading this, well, then you're about to experience it for yourself, first hand, with a Trader Joe's Tangerine Probiotic Sparkling Beverage.    Made with tangerine juice concentrate, apple juice concentrate, natural flavors, and plenty of bubbles, our Tangerine Probiotic Sparkling Beverage offers up light, refreshing, sweet-tart flavor-and plenty of bubbly refreshment. It tastes just like a no-sugar-added seltzer, but this no-sugar-added seltzer boasts a batch of  Bacillus coagulans-or probiotic cultures-which are added after the beverage is pasteurized.    What are you waiting for? Crack the can!  ","['Beverages', 'Sodas & Mixers']",https://www.traderjoes.com/home/products/pdp/tangerine-probiotic-sparkling-beverage-074572,$1.99,12 Fl Oz,https://www.traderjoes.com/content/dam/trjo/products/m305/74572.png/jcr:content/renditions/cq5dam.web.1280.1280,,"['CARBONATED WATER (WATER, CARBON DIOXIDE)', 'TANGERINE JUICE CONCENTRATE', 'APPLE JUICE CONCENTRATE', 'NATURAL FLAVOR', 'CITRIC ACID (ACIDULANT)', 'PROBIOTIC CULTURE (BACILLUS COAGULANS)']",,"['Alfresco Dining', 'Glass Half Full', 'Picnic', 'The ""X"" Factor']",['1 can(355 mL)'],['30 ']
