product_id,title,subtitle,description,category,url,price,weight,images,consume_advice,ingredients,nutritional values,allergens,vegan,price per kilo,product_availability,invalid_columns
discovery-box-21-pieces,Discovery Box - 21 pieces - 21 pieces,Discovery Box,"The Discovery box contains a delicious assortment of La Manufacture s chocolates for those exploring the range for the first time, or for the amateur of variety. Single-Origin dark chocolate Ganaches, Pralin s ""  l'Ancienne"" and Flavored Ganaches... unique tastes and an array of textures that tempt the palate into answering the call of indulgence...This box of 21 pieces contains 21 flavours.",Boxes,https://www.lechocolat-alainducasse.com/uk/discovery-box-21-pieces,£26.67,170g,['https://www.lechocolat-alainducasse.com/uk/3334/discovery-box-21-pieces.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",,£156.86 / Kg,Available in whole UK,"['ingredients', 'nutritional values', 'vegan']"
discovery-box-58-pieces,Discovery Box - 58 pieces - 58 pieces,Discovery Box,"The Discovery box contains a delicious assortment of La Manufacture s chocolates for those exploring the range for the first time, or for the amateur of variety. Single-Origin dark chocolate Ganaches, Pralin s ""  l'Ancienne"" and Flavored Ganaches... unique tastes and an array of textures that tempt the palate into answering the call of indulgence...This box of 58 pieces contains 25 flavours.",Valentine's Day,https://www.lechocolat-alainducasse.com/uk/discovery-box-58-pieces,£69.17,490g,['https://www.lechocolat-alainducasse.com/uk/3347/discovery-box-58-pieces.jpg'],At its most delicious within 2 to 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£159.18 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
discovery-box-90-pieces,Discovery Box - 90 pieces - 90 pieces,Discovery Box,"The Discovery box contains a delicious assortment of La Manufacture s chocolates for those exploring the range for the first time, or for the amateur of variety. Single-Origin dark chocolate Ganaches, Pralin s ""  l'Ancienne"" and Flavored Ganaches... unique tastes and an array of textures that tempt the palate into answering the call of indulgence...",Mother's Day,https://www.lechocolat-alainducasse.com/uk/discovery-box-90-pieces,£106.67,760g,['https://www.lechocolat-alainducasse.com/uk/3343/discovery-box-90-pieces.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£156.58 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
double-bites-box,Double-bites box - 12 pieces - 12 pieces,Discovery Box,"The double-bite is the equivalent of two chocolates in one. We have selected certain of our Single-Origin dark chocolate Ganaches, our Flavored Ganaches and our Pralin s ""  l'Ancienne"" to produce this even tastier composition.",Double-bites box - 12 pieces - 12 pieces,https://www.lechocolat-alainducasse.com/uk/double-bites-box,£34.17,245g,['https://www.lechocolat-alainducasse.com/uk/3341/double-bites-box.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£139.46 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
single-origin-ganache-chocolate,Single-Origin Ganaches - 30 pieces,Ganaches Box,"The origins of the cocoa are key to discovering the Single-Origin dark chocolate Ganaches, it is the terroir of each country or, more precisely, of each region that gives the beans their individual taste. The Single-Origin dark chocolate Ganaches come in 5 varieties, like an invitation to as many gustatory destinations around the world.This box of 30 pieces contains 5 flavours.",Boxes,https://www.lechocolat-alainducasse.com/uk/single-origin-ganache-chocolate,£35.00,240g,['https://www.lechocolat-alainducasse.com/uk/3338/single-origin-ganache-chocolate.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£145.83 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
flavoured-ganache,Flavored Ganaches - 21 pieces,Ganaches Box,"The Flavored Ganaches come in 11 flavours offering different textures: fondant, crunchy and crispy. Created using fresh fruit or spices, the Flavored Ganaches offer both original and creative blends. This box of 21 pieces contains 11 flavours.",Mother's Day,https://www.lechocolat-alainducasse.com/uk/flavoured-ganache,£25.00,170g,['https://www.lechocolat-alainducasse.com/uk/3339/flavoured-ganache.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£147.06 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
single-origin-flavoured-ganache,Flavored Ganaches & Single-Origin Ganaches - 54 pieces,Ganaches Box,A selection of 54 bonbons to discover the Flavored Ganaches and Single-Origin dark chocolate Ganaches.,Boxes,https://www.lechocolat-alainducasse.com/uk/single-origin-flavoured-ganache,£60.83,440g,['https://www.lechocolat-alainducasse.com/uk/3336/single-origin-flavoured-ganache.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£140.91 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
single-origin-ganache-praline-ancienne,Single-Origin Ganaches & Pralinés à l'Ancienne - 60 pieces,Discovery Box,"A selection of 60 bonbons to discover the Single-Origin dark chocolate Ganaches and Pralin s ""  l'Ancienne"".",Boxes,https://www.lechocolat-alainducasse.com/uk/single-origin-ganache-praline-ancienne,£69.17,510g,['https://www.lechocolat-alainducasse.com/uk/3337/single-origin-ganache-praline-ancienne.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£135.62 / Kg,Available in whole UK,"['title', 'ingredients', 'nutritional values']"
box-bars,6 chocolate bars Box - 75% Dark & 45% Milk Chocolate,,"From the grand cru to the single-origin bar, not to mention the Mendiant and the unconched Tradition bar, this set of chocolate bars is an invitation to the sweet world of La Manufacture.6 chocolate bars: 45% Peru Milk, 75% Almonds, Candied Oranges & Figs, 75% Rustic Peru, 85% Ecuador, 75% Mexico, 75% Madagascar Criollo & Trinitario.**The bars' list may vary from onoe origin to another depending on availibility.",Bars,https://www.lechocolat-alainducasse.com/uk/box-bars,£46.67,490g,['https://www.lechocolat-alainducasse.com/uk/3291/box-bars.jpg'],At its most delicious within 2 months of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,"112,24 / Kg",Available in whole UK,"['ingredients', 'nutritional values']"
coffret-cocorico-16-pepittes,Cocorico Box 16 Pieces - 16 pieces,Pépites Box,"Did you know? In Latin, the word ""gallus"" means both ""Gaul"" and ""rooster""! Historically, the rooster appeared on Gaulish coins   today, it appears on our treats!In collaboration with the  lys e - Presidency of the Republic brand, Chocolat Alain Ducasse pays tribute to the French symbol and includes the word ""Cocorico"" inscribed on its p pites.These indulgent treats conceal a dual-pralin  heart: hazelnut praline & almond nib pralin  for the dark chocolate version, and almond pralin  & hazelnut vanilla pralin  for the milk chocolate.Proceeds contribute to the funding of the renovation of the  lys e Palace, helping to enhance this historic monument and open it to the French population, 300 years after its construction.",Boxes,https://www.lechocolat-alainducasse.com/uk/coffret-cocorico-16-pepittes,£24.17,160g,['https://www.lechocolat-alainducasse.com/uk/3956/coffret-cocorico-16-pepittes.jpg'],At its most delicious within 5 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£151.04 / kg,Available in whole UK,"['ingredients', 'nutritional values']"
ganache-flavoured-praline-ancienne,Flavored Ganaches & Pralinés à l'Ancienne - 51 pieces,Discovery Box,"A selection of 51 bonbons to discover the Flavored Ganaches and Pralin s ""  l'Ancienne"".",Boxes,https://www.lechocolat-alainducasse.com/uk/ganache-flavoured-praline-ancienne,£60.00,440g,['https://www.lechocolat-alainducasse.com/uk/3335/ganache-flavoured-praline-ancienne.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£136.36 / Kg,Available in whole UK,"['title', 'ingredients', 'nutritional values']"
single-origin-bar-dark-cru-brasil-75,Brasil Forestero Blanco - 75% Dark Chocolate,Grand Cru Bar,"Grand cru:   Forastero Blanco  , also known as   Catongo  , carries red fruit flavours. The Single-Origin bars explore the purity and diversity of various sources. With a range of different origins and as many refined flavours, our bars reveal the personality of their producing country and terroir.",Bars,https://www.lechocolat-alainducasse.com/uk/single-origin-bar-dark-cru-brasil-75,£10.00,75g,"['https://www.lechocolat-alainducasse.com/uk/3308/single-origin-bar-dark-cru-brasil-75.jpg', 'https://www.lechocolat-alainducasse.com/uk/3646/single-origin-bar-dark-cru-brasil-75.jpg']",This product is best eaten within 18 months of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",Yes,£146.67 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
single-origin-bar-madagascar-milk-55,Madagascar - 55% Milk Chocolate,Grand Cru Bar,"A tart milk chocolate made with beans originating from Madagascar, Indian Ocean.The Single-Origin bars explore the purity and diversity of various sources. With a range of different origins and as many refined flavours, our bars reveal the personality of their producing country and terroir.",Bars,https://www.lechocolat-alainducasse.com/uk/single-origin-bar-madagascar-milk-55,£7.50,75g,"['https://www.lechocolat-alainducasse.com/uk/3552/single-origin-bar-madagascar-milk-55.jpg', 'https://www.lechocolat-alainducasse.com/uk/3654/single-origin-bar-madagascar-milk-55.jpg']",This product is best eaten within 18 months of purchase,"Cocoa beans Madagascar, cocoa butter, cane sugar, milk powder, emulsifier: non-GMO sunflower lecithin, salt ""Fleur de sel"". Cocoa 55% minimum",,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£93.33 / Kg,Available in whole UK,['nutritional values']
filled-bar-dark-pistachio-flavoured-marzipan,Pistachio-flavoured Marzipan - 75% Dark Chocolate,Filled Bar,"A bar of dark chocolate filled with pistachio-flavoured marzipanFilled chocolate bars require patient and meticulous work. The chocolate is first poured in a thin layer. The filling is then delicately placed onto the poured chocolate, which is then layered with melted chocolate. The result is a delicious bar with a pralin , marzipan, ganache or fruit centre for crunchy, crispy or fondant centres.",Bars,https://www.lechocolat-alainducasse.com/uk/filled-bar-dark-pistachio-flavoured-marzipan,£12.50,110g,"['https://www.lechocolat-alainducasse.com/uk/3419/filled-bar-dark-pistachio-flavoured-marzipan.jpg', 'https://www.lechocolat-alainducasse.com/uk/3420/filled-bar-dark-pistachio-flavoured-marzipan.jpg']",At its most delicious within 2 to 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£127.27 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
filled-bar-dark-smooth-caramel,Smooth Caramel - 75% Dark Chocolate,Filled Bar,"Coated in dark chocolate, this chocolate bar is filled with a smooth caramel that melts in the mouth and crunchy almond flakes, a blend of flavours and textures that will awaken your senses.The perfect sweet treat !",Bars,https://www.lechocolat-alainducasse.com/uk/filled-bar-dark-smooth-caramel,£12.50,120g,"['https://www.lechocolat-alainducasse.com/uk/3427/filled-bar-dark-smooth-caramel.jpg', 'https://www.lechocolat-alainducasse.com/uk/3428/filled-bar-dark-smooth-caramel.jpg']",At its most delicious within 2 to 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£116.67 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
box-bars,6 chocolate bars Box - 75% Dark & 45% Milk Chocolate,,"From the grand cru to the single-origin bar, not to mention the Mendiant and the unconched Tradition bar, this set of chocolate bars is an invitation to the sweet world of La Manufacture.6 chocolate bars: 45% Peru Milk, 75% Almonds, Candied Oranges & Figs, 75% Rustic Peru, 85% Ecuador, 75% Mexico, 75% Madagascar Criollo & Trinitario.**The bars' list may vary from onoe origin to another depending on availibility.",Bars,https://www.lechocolat-alainducasse.com/uk/box-bars,£46.67,490g,['https://www.lechocolat-alainducasse.com/uk/3291/box-bars.jpg'],At its most delicious within 2 months of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,"112,24 / Kg",Available in whole UK,"['ingredients', 'nutritional values']"
tradition-bar-dark-sugar-free,Sugar-free - 85% Dark Chocolate,Signature Bar,"To indulge without guilt, La Manufacture offers a sugar-free dark chocolate bar with 85% cocoa The Signature chocolate bars are the combination of a taste with a unique identity, discover recipes revealing the raw and pure character of our selected beans.",Bars,https://www.lechocolat-alainducasse.com/uk/tradition-bar-dark-sugar-free,£8.33,75g,"['https://www.lechocolat-alainducasse.com/uk/3298/tradition-bar-dark-sugar-free.jpg', 'https://www.lechocolat-alainducasse.com/uk/3642/tradition-bar-dark-sugar-free.jpg']",This product is best eaten within 18 months of purchase,"Cocoa beans, maltitol, cocoa butter, emulsifier: GMO-free sunflower lecithin, vanilla pods, fleur de sel. Cocoa 85% minimum",,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",Yes,£106.67 / Kg,Available in whole UK,['nutritional values']
filled-bar-milk-hazelnut-praline-fleur-sel,Hazelnut praliné & fleur de sel - 45% Milk Chocolate,Filled Bar,"A bar of milk chocolate filled with a traditional hazelnut pralin and seasoned with a salty note from the hint of fleur de sel. Try it now, it's unmissable!Filled chocolate bars require patient and meticulous work. The chocolate is first poured in a thin layer. The filling is then delicately placed onto the poured chocolate, which is then layered with melted chocolate. The result is a delicious bar with a pralin , marzipan, ganache or fruit centre for crunchy, crispy or fondant centres.",Bars,https://www.lechocolat-alainducasse.com/uk/filled-bar-milk-hazelnut-praline-fleur-sel,£12.50,110g,"['https://www.lechocolat-alainducasse.com/uk/3425/filled-bar-milk-hazelnut-praline-fleur-sel.jpg', 'https://www.lechocolat-alainducasse.com/uk/3426/filled-bar-milk-hazelnut-praline-fleur-sel.jpg']",At its most delicious within 6 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£127.27 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
box-essentials-large,Large Essentials Box,,"Our Soveria candied fruits, roc's, and drag es are gathered in one box! This box of Essentials contains milk & dark chocolate roc's, Soveria Candied Oranges, milk chocolate hazelnut drag es, dark chocolate almond drag es.",Mother's Day,https://www.lechocolat-alainducasse.com/uk/box-essentials-large,£46.67,365g,"['https://www.lechocolat-alainducasse.com/uk/3351/box-essentials-large.jpg', 'https://www.lechocolat-alainducasse.com/uk/3977/box-essentials-large.jpg']",At its most delicious within 4 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£127.85 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
praline-ancienne,Pralinés à l'Ancienne - 27 pieces - 27 pieces,Pralinés Box,"Our Pralin s ""  l'Ancienne"" are produced  old fashioned-style . These classics, with almonds and hazelnuts caramelised come in fondant and crunchy varieties. Recipes containing pistachios, peanuts or roasted coconut marry tradition and originality. This box of 27 pieces contains 9 flavours.",Mother's Day,https://www.lechocolat-alainducasse.com/uk/praline-ancienne,£33.33,240g,['https://www.lechocolat-alainducasse.com/uk/3340/praline-ancienne.jpg'],At its most delicious within 6 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£138.89 / Kg,Available in whole UK,"['title', 'ingredients', 'nutritional values']"
box-bars,6 chocolate bars Box - 75% Dark & 45% Milk Chocolate,,"From the grand cru to the single-origin bar, not to mention the Mendiant and the unconched Tradition bar, this set of chocolate bars is an invitation to the sweet world of La Manufacture.6 chocolate bars: 45% Peru Milk, 75% Almonds, Candied Oranges & Figs, 75% Rustic Peru, 85% Ecuador, 75% Mexico, 75% Madagascar Criollo & Trinitario.**The bars' list may vary from onoe origin to another depending on availibility.",Bars,https://www.lechocolat-alainducasse.com/uk/box-bars,£46.67,490g,['https://www.lechocolat-alainducasse.com/uk/3291/box-bars.jpg'],At its most delicious within 2 months of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,"112,24 / Kg",Available in whole UK,"['ingredients', 'nutritional values']"
pepites-box-36-pieces,Pépites box - 36 pieces - 36 pieces,Pépites Box,"This box contains 36 P pites - small chocolate bites - exploring 6 flavors. In addition to the unmissable Caramel Hazelnut ones, the Manufacture offers you to discover new recipes.Try the chocolaty intensity of the Cocoa Nibs P pite, the character of the Kenyan coffee P pite, the roundness of the Walnut P pite or the crunchy Buckwheat P pite.",Valentine's Day,https://www.lechocolat-alainducasse.com/uk/pepites-box-36-pieces,£47.50,337g,"['https://www.lechocolat-alainducasse.com/uk/3329/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2059/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2540/pepites-box-36-pieces.jpg', 'https://www.lechocolat-alainducasse.com/uk/2382/pepites-box-36-pieces.jpg']",At its most delicious within 6 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£140.95 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
discovery-box-58-pieces,Discovery Box - 58 pieces - 58 pieces,Discovery Box,"The Discovery box contains a delicious assortment of La Manufacture s chocolates for those exploring the range for the first time, or for the amateur of variety. Single-Origin dark chocolate Ganaches, Pralin s ""  l'Ancienne"" and Flavored Ganaches... unique tastes and an array of textures that tempt the palate into answering the call of indulgence...This box of 58 pieces contains 25 flavours.",Valentine's Day,https://www.lechocolat-alainducasse.com/uk/discovery-box-58-pieces,£69.17,490g,['https://www.lechocolat-alainducasse.com/uk/3347/discovery-box-58-pieces.jpg'],At its most delicious within 2 to 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£159.18 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
single-origin-ganache-chocolate,Single-Origin Ganaches - 30 pieces,Ganaches Box,"The origins of the cocoa are key to discovering the Single-Origin dark chocolate Ganaches, it is the terroir of each country or, more precisely, of each region that gives the beans their individual taste. The Single-Origin dark chocolate Ganaches come in 5 varieties, like an invitation to as many gustatory destinations around the world.This box of 30 pieces contains 5 flavours.",Boxes,https://www.lechocolat-alainducasse.com/uk/single-origin-ganache-chocolate,£35.00,240g,['https://www.lechocolat-alainducasse.com/uk/3338/single-origin-ganache-chocolate.jpg'],At its most delicious within 3 weeks of purchase,,,"All our products may contain traces of milk, eggs, gluten, nuts, peanuts, sesame and soya.",No,£145.83 / Kg,Available in whole UK,"['ingredients', 'nutritional values']"
